seed,replication,policy,readmission_rate,absolute_reduction,intervention_count
777,6,risk_only,0.11139075316927666,0.011372110365398952,1073
777,6,network_only,0.12108501118568232,0.0016778523489932862,1073
777,6,risk_network,0.11129753914988814,0.011465324384787465,1073
777,7,random,0.11987322893363161,0.0018642803877703257,1073
777,7,risk_only,0.1092468307233408,0.012490678598061147,1073
777,7,network_only,0.11950037285607755,0.002237136465324391,1073
777,7,risk_network,0.11064504101416853,0.011092468307233413,1073
777,8,random,0.12509321401938853,0.0016778523489932862,1073
777,8,risk_only,0.11390753169276659,0.012863534675615226,1073
777,8,network_only,0.12527964205816555,0.0014914243102162605,1073
777,8,risk_network,0.11493288590604027,0.011838180462341544,1073
777,9,random,0.11819537658463833,0.002237136465324391,1073
777,9,risk_only,0.10952647278150635,0.010906040268456374,1073
777,9,network_only,0.11894108873974646,0.0014914243102162605,1073
777,9,risk_network,0.1104586129753915,0.009973900074571218,1073
777,10,random,0.12080536912751678,0.0023303504847128897,1073
777,10,risk_only,0.10906040268456375,0.01407531692766592,1073
777,10,network_only,0.1215510812826249,0.0015846383296047734,1073
777,10,risk_network,0.11129753914988814,0.01183818046234153,1073
777,11,random,0.11950037285607755,0.002982848620432521,1073
777,11,risk_only,0.11073825503355705,0.011744966442953017,1073
777,11,network_only,0.12080536912751678,0.0016778523489932862,1073
777,11,risk_network,0.11064504101416853,0.011838180462341544,1073
777,12,random,0.122110365398956,0.0024235645041014164,1073
777,12,risk_only,0.11316181953765847,0.011372110365398952,1073
777,12,network_only,0.12220357941834452,0.0023303504847129036,1073
777,12,risk_network,0.11428038777032065,0.01025354213273677,1073
777,13,random,0.11987322893363161,0.0024235645041014164,1073
777,13,risk_only,0.11036539895600299,0.011931394481730043,1073
777,13,network_only,0.12052572706935123,0.001771066368381799,1073
777,13,risk_network,0.11269574944071588,0.009601043997017153,1073
777,14,random,0.1226696495152871,0.002237136465324391,1073
777,14,risk_only,0.11306860551826994,0.011838180462341544,1073
777,14,network_only,0.12239000745712156,0.0025167785234899293,1073
777,14,risk_network,0.1151193139448173,0.009787472035794192,1073
777,15,random,0.12099179716629381,0.0015846383296047734,1073
777,15,risk_only,0.10980611483967188,0.0127703206562267,1073
777,15,network_only,0.12024608501118568,0.0023303504847129036,1073
777,15,risk_network,0.11213646532438479,0.010439970171513796,1073
777,16,random,0.1180089485458613,0.002143922445935864,1073
777,16,risk_only,0.10766219239373602,0.012490678598061147,1073
777,16,network_only,0.11838180462341537,0.001771066368381799,1073
777,16,risk_network,0.10887397464578673,0.011278896346010439,1073
777,17,random,0.11940715883668904,0.0027964205816554816,1073
777,17,risk_only,0.10850111856823266,0.013702460850111856,1073
777,17,network_only,0.12080536912751678,0.0013982102908277338,1073
777,17,risk_network,0.11008575689783744,0.012117822520507082,1073
777,18,random,0.12378821774794929,0.0023303504847128897,1073
777,18,risk_only,0.11418717375093214,0.011931394481730043,1073
777,18,network_only,0.12444071588366891,0.0016778523489932723,1073
777,18,risk_network,0.1151193139448173,0.010999254287844887,1073
777,19,random,0.12024608501118568,0.0024235645041014164,1073
777,19,risk_only,0.11083146905294557,0.01183818046234153,1073
777,19,network_only,0.1208985831469053,0.001771066368381799,1073
777,19,risk_network,0.1127889634601044,0.009880686055182691,1073
777,20,random,0.1185682326621924,0.002609992542878442,1073
777,20,risk_only,0.10971290082028337,0.011465324384787465,1073
777,20,network_only,0.11903430275913497,0.002143922445935864,1073
777,20,risk_network,0.1104586129753915,0.010719612229679334,1073
777,21,random,0.11707680835197613,0.0031692766592095467,1073
777,21,risk_only,0.10663683818046234,0.013609246830723343,1073
777,21,network_only,0.1186614466815809,0.0015846383296047734,1073
777,21,risk_network,0.10859433258762118,0.011651752423564504,1073
777,22,random,0.11968680089485459,0.0023303504847129036,1073
777,22,risk_only,0.10840790454884415,0.013609246830723343,1073
777,22,network_only,0.11968680089485459,0.0023303504847129036,1073
